,name
607,Azeflo FT Nasal Spray
608,Amixide 10mg Tablet
609,Apgel
610,Azibact L 500 mg/500 mg Tablet
611,Antidep 25mg Tablet
612,Avas 10 Tablet
613,Azulix 2 Tablet
614,Addwize 10mg Tablet
615,Azy 500mg Tablet
616,Aricef O Plus Tablet
617,Asthalin Rotacaps
618,Azee XL 200mg Dry Syrup Peppermint
619,Arbitel-MT 50 Tablet ER
620,Accentrix Solution for Injection
621,Azulix 1 Tablet
622,Azicip 250 Tablet
623,Assurans Tablet
624,Azusa 16 Tablet
625,Anfoe 10000IU Injection
626,Ambrodil-LX Drop
627,Asprito 2 Tablet
628,Ambrodil Drop
629,Alkof Junior Syrup
630,Albucel 20% Infusion
631,Amplinak Opthalmic Suspension
632,Atocor-CV 10 Capsule
633,Amisant 200 Tablet
634,Aginal-AT Tablet
635,Alevo 500 Tablet
636,Amlong MT 25 Tablet PR
637,Arkamin H Tablet
638,Amyclox-LB Capsule
639,Aldigesic P 100 mg/500 mg Suspension
640,Aaz-Mectin Tablet
641,Acnetor AD Gel
642,Antisnake Venom Injection
643,Alcipro 500mg Tablet
644,Alburel-T Injection
645,Apidra Solostar 100IU/ml Injection
646,Amtas-M 25 Tablet PR
647,Ascodex Plus Syrup
648,Altonil Tablet MD
649,Artacil 100mg/ml Injection
650,Aztogold 10 Capsule
651,Amify 50mg Injection
652,Alprax 1mg Tablet
653,Amantrel Capsule
654,Aziderm 20% Gel
655,Apdrops KT 0.4 Eye Drops
656,Aminophylline 250mg Injection
657,Armotraz Tablet
658,Alkof Cofgel  Tablet
659,Aziderm 10% Gel
660,Amodep-TM Tablet
661,Arixtra 2.5mg Injection
662,Anabel-CT Gel
663,Ampoxin 250 Capsule
664,Ageless Tablet
665,Acuclav 625 Tablet
666,Anoxilin 40mg Injection
667,Atorfit 10 Tablet
668,Anosum Cream
669,Amlokind Beta 5mg/25mg Tablet PR
670,Altonil 5mg Tablet
671,Angispan-TR 6.5mg Capsule
672,Atracurium Besilate Injection
673,Atocor 10 Tablet
674,Avil NU 10mg Tablet
675,Alerflo Nasal Spray
676,Amlodac AT Tablet
677,Amlopres L Tablet
678,Angistat 2.5 Capsule TR
679,Alcaft Eye Drop
680,Acera-L Capsule SR
681,Azulix 1 MF Forte Tablet PR
682,Ampilox DS Tablet
683,Aloederm F Cream
684,Agoprex Tablet
685,Aqsusten  25 Injection
686,Amlokind-Beta 50 Tablet PR
687,Amlong A-25 Tablet
688,Atocor-F Tablet
689,Acenac Tablet
690,Androfil 40mg Capsule
691,Angizem CD 90 Capsule ER
692,Aculip H 12.5mg/5mg Tablet
693,Azovas 16mg Tablet
694,Anti-Thyrox 10 Tablet
695,Azildac 40 Tablet
696,Arip MT 2 Tablet
697,Adrelin Injection
698,Ascoril Flu Drops
699,Avas 20 Tablet
700,Aquasurge  Max Eye Drop
701,Artacil 25mg/ml Injection
702,Azicip 250 Tablet
703,Ampoxin 1gm Injection
704,Azro 500 Tablet
705,Akurit Tablet
706,Ampiclox 250 mg/250 mg Tablet
707,Acnedap Plus Gel
708,Alp 0.5mg Tablet
709,Aisa  Tablet
710,Aldonil Plus Tablet SR
711,Acefen SP Tablet
712,Aminophylin Injection
713,Ara Eye Gel
714,Anaspas 25mg Injection
715,Altonil 10 Tablet MD
716,Arbitel-CT 40 Tablet
717,Arbitel 20 Tablet
718,Alsartan-H Tablet
719,Atchol-ASP Capsule
720,Acolate Plus Tablet
721,Ambrican 5 Tablet
722,Andulfa 100mg Injection
723,Alltop 0.25mg Tablet
724,Amantex Tablet
725,Asomex-D Tablet
726,Atchol-ASP Capsule
727,Acimol 500mg Tablet
728,ASA 75mg Tablet
729,Alcros 100 Capsule
730,Acidose 500mg Tablet
731,Aprezo 10 Tablet
732,Aspin 100mg Tablet
733,Aceflam P 100mg/325mg Tablet
734,Amazeo OD 100 Tablet SR
735,Ampilin 500mg Capsule
736,Acimol-SP Tablet
737,Airtec FB 200 Instacap
738,Aricep 10 Tablet
739,Alcros 100 Capsule
740,Accutaz AS 1000mg/125mg Injection
741,Aculip H 12.5 mg/5 mg Tablet
742,Addphos Granules
743,Atormac Gold 10 Capsule
744,Ambrolite 2S Expectorant
745,Asomex-TM Tablet
746,Acegrow 3D Tablet
747,Amitryn 25 Tablet
748,Amixide Tablet
749,Amloz AT Tablet
750,Aprecap 125/80 Capsule
751,Atorva E 10 mg/10 mg Tablet
752,Azithral XL 200 Liquid
753,Acinil-O Oral Suspension
754,Ajee 500mg Tablet
755,Anafortan N 100 mg/50 mg Tablet
756,Alphadopa Tablet
757,Axogurd NT Tablet SR
758,Ampoxin-CV 500mg/125mg Tablet
759,Azikem 250mg Tablet
760,Acivir IV Injection
761,Albrim T Eye Drop
762,ATM 250 Tablet
763,Aztor 5 Tablet
764,Aceclowal SP 100mg/325mg/15mg Tablet
765,Ancool  SF Suspension
766,Amlo 5mg Tablet
767,Apidra 100IU/ml Solution for Injection
768,Amitriptyline Hcl 25mg Tablet
769,Angicam 5mg Tablet
770,Alastin 10mg Tablet
771,ATM 100 Oral Suspension
772,Atocor 20 Tablet
773,Acekay Sera Tablet
774,Amlong-TL 40 Tablet
775,Azulix MV 2mg/500mg/0.3mg Tablet SR
776,Azenam 1gm Injection
777,Anawin Heavy 5mg Injection
778,Acceclowoc-P Tablet
779,Amrolmac Cream
780,Aldigesic 100mg/500mg/250mg Tablet MR
781,Arachitol 3L Injection
782,Aztor 80 Tablet
783,Avastimab 400mg Injection
784,Aldonil OD Tablet
785,Alphagan P Ophthalmic Solution
786,Acimol Forte 100 mg/325 mg/15 mg Tablet
787,Aspin 300mg Tablet DT
788,Atorsave 10 Tablet
789,Angionox 60mg Injection
790,Aim7 60 XR Tablet
791,Astin CV 10 Capsule
792,Alfalog Tablet
793,Aquasol C Oral Drops
794,Auxisoda Tablet
795,Asprito 10 Tablet
796,Aclon-SP Tablet
797,Astymin-3  10mg/8mg Infusion
798,Azopet 250mg Tablet
799,Aziderm 15% Gel
800,Allrite DC Tablet ER
801,Acocontin Tablet CR
802,Azid 500 Tablet
803,Asprito 5 Tablet
804,Azikem 500mg Tablet
805,Abd Plus Syrup
806,Alto's Citrasol Liquid
807,Aciloc-S Suspension Sugar Free
808,Amtas 2.5 Tablet
809,Amlopres 2.5 Tablet
810,Aquim PF Eye Drop
811,Akilos-SP Tablet
812,Azovas 8mg Tablet
813,Atorva 5 Tablet
814,AZ 500mg Tablet
815,Alkem Relief Tablet
816,Aciloc D 10 mg/150 mg Tablet
817,Acivir Cream
818,Actrapid 100IU/ml Solution for Injection
819,Adalimac 40mg Injection
820,Aztric 40 Tablet
821,Amox 500mg Capsule
822,Augxetil 500mg Tablet
823,Acimol 100 mg/325 mg Tablet
824,Amoxilin CV 500mg/125mg Tablet
825,Acetyl Salicylic Acid 50mg Tablet
826,Asar 40 Tablet
827,Aricep-M  Tablet
828,Amoxyclav 200mg/28.5mg Syrup
829,Amrosys Cream
830,Allercet-L Tablet
831,Atropine 1% Eye Drop
832,Acenac SP 100mg/325mg/15mg Tablet
833,Amdepin 5 Tablet
834,Angicam-M Tablet PR
835,Arbitel-MT 25 Tablet ER
836,Amphotin Lip 10mg Injection
837,Atorlip-ASP 20 Capsule
838,Acimol MR 100mg/325mg/250mg Tablet
839,Agna 10000 Capsule DR
840,Arip MT 10 Tablet
841,Amrox  Syrup
842,Amitax 500mg Injection
843,Acecloren Tablet
844,Alcoliv Tablet
845,Atorsave 40 Tablet
846,Atorec-ASP Capsule
847,Amlogard 2.5mg Tablet
848,Atorfit CV 20 Capsule
849,Almefkem Spas 10 mg/250 mg Tablet
850,Aldigesic Injection
851,Alkazip Syrup
852,Acutrol C 400 Tablet
853,Amlosafe MT 50 Tablet PR
854,Air 120 Tablet
855,Anfoe 4000IU Injection
856,Abhayrab-PF Vaccine
857,Adiff Gel
858,Alamin Injection
859,Asiclopam Tablet
860,Avas CV 20 Capsule
861,Alnitro 2.6 Tablet CR
862,Anticold  Tablet
863,Anthocyn-TX Tablet
864,Aravon Injection
865,Alprasafe 0.25mg Tablet
866,Atocor 80 Tablet
867,Amloz 5 Tablet
868,ATM 200 Oral Suspension
869,Aldactone T 10 Tablet
870,Ambrolite 30 Tablet
871,App UP 2mg/275mg Syrup
872,Amlodac-D Tablet SR
873,Amlokind 10mg Tablet
874,Azithral Pulse Tablet
875,Anleo-DSR Capsule
876,Anxozap 10 Tablet
877,Atormac 10 Tablet
878,Acnelak-CLZ Cream
879,Azulix 4 MF Tablet PR
880,Azipro 250 Tablet
881,Acemyoset Tablet SR
882,Amlodac M Tablet PR
883,Azomax 250mg Capsule
884,Adalirel 40mg Injection
885,Airz Smartules Each 2ml
886,Amphocil 50mg Injection
887,Antacid Tablet
888,Anin Tablet
889,Amtas-AT 25 Tablet
890,Alcros 200 Capsule
891,Ace-Proxyvon SP Tablet
892,Alerid Cold Tablet
893,Amortas Cream
894,Asthavent 100mcg Inhaler
895,Amlovas 10 Tablet
896,Amoxycillin 125mg Syrup
897,Advent 91.4mg Drops Tangy Orange
898,Apdrops DM Eye Drop
899,Aprezo 20 Tablet
900,Alpostin 500mcg Injection
901,Atorlip CV Capsule
902,Amtas 10 Tablet
903,Amlodepin 5mg Tablet
904,Ace Proxyvon TH 4 Tablet
905,Aziwin 500 Tablet
906,Adilip 45 Tablet DR
907,Aerodil-LS Expectorant
908,Azmarda 200mg Tablet
909,Ara Eye Drop
910,Alertriz 5mg Tablet
911,Augpen -DS Suspension
912,Aloatm 5% Solution
913,Asthafen Tablet
914,Azento 500mg Tablet
